N,smina,gnina,best,annotation,prefix,model,crystal
4,45.04721,56.26226,74.84106,ligand,nc,default2018,no
5,48.10555,59.56829,74.84106,ligand,nc,default2018,no
6,50.27839,61.36389,74.84106,ligand,nc,default2018,no
7,51.83849,62.77961,74.84106,ligand,nc,default2018,no
8,53.41623,64.01886,74.84106,ligand,nc,default2018,no
9,54.56853,65.28997,74.84106,ligand,nc,default2018,no
10,55.82544,66.02107,74.84106,ligand,nc,default2018,no
1,21.14338,33.54630,64.24360,flex1,nc,default2018,yes
2,29.26588,44.75246,71.66210,flex1,nc,default2018,yes
3,33.91165,50.53182,73.73965,flex1,nc,default2018,yes
4,37.02905,54.88079,75.34277,flex1,nc,default2018,yes
5,40.55304,57.31977,75.72440,flex1,nc,default2018,yes
6,43.15086,59.63691,75.88033,flex1,nc,default2018,yes
7,44.90208,61.28313,76.06778,flex1,nc,default2018,yes
8,47.99510,63.13271,76.21662,flex1,nc,default2018,yes
9,49.32074,64.58811,76.32773,flex1,nc,default2018,yes
10,50.86082,65.68688,76.32773,flex1,nc,default2018,yes
1,17.32831,16.46885,36.88306,flex1,nc,default2018,no
2,23.24843,23.51137,44.28780,flex1,nc,default2018,no
3,27.26343,27.21476,47.22227,flex1,nc,default2018,no
4,29.33745,30.30091,48.32520,flex1,nc,default2018,no
5,31.51832,33.10087,49.52989,flex1,nc,default2018,no
6,33.26927,34.59777,50.14991,flex1,nc,default2018,no
7,34.52848,35.92063,50.32460,flex1,nc,default2018,no
8,35.98040,37.26506,50.63324,flex1,nc,default2018,no
9,36.66667,38.47604,50.89678,flex1,nc,default2018,no
10,37.71125,39.48423,50.93262,flex1,nc,default2018,no
1,30.03667,48.90393,85.43267,flex2,nc,default2018,yes
2,39.28667,60.70843,87.81154,flex2,nc,default2018,yes
3,45.09503,67.16264,88.30955,flex2,nc,default2018,yes
4,48.06662,71.44789,88.67210,flex2,nc,default2018,yes
5,51.64229,73.85804,88.73999,flex2,nc,default2018,yes
